Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,Contract type,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL,Tender process type,Tender document URL,Contract document URL,Performance information URL,Location service label,Location served URI
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43307,,Spot Purchased Day Care For Adults (Courtenay House),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Courtenay House),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,COUNTY HEALTHCARE LTD COURTNEY HSE NO1,,,67750 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43308,,Spot Purchased Day Care For Adults (Crown Rest Home ),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Crown Rest Home ),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,MRS LINDSEY WOOD AND MR CHRISTOPHER WOOD T/A THE CROWN REST HOME,,,75414 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43309,,Spot Purchased Day Care For Adults (CSV ),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (CSV ),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,458517 ,Estimated,,CSV,,,67843 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43310,,Spot Purchased Day Care For Adults (Dalmeny House),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Dalmeny House),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,16992 ,Estimated,,DALMENY HOUSE LTD,,,1053782 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43311,,Spot Purchased Day Care For Adults (Darwin Nurseries),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Darwin Nurseries),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,48691 ,Estimated,,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,,,104198 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43312,,Spot Purchased Day Care For Adults (Day Break Support Services),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Day Break Support Services),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,DAYBREAK SUPPORT SERVICES,,,117196 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43313,,Spot Purchased Day Care For Adults (Delph House),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Delph House),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,GRAHAM RAINBIRD & TERESA RAINBIRD T/A DELPH HOUSE,,,496495 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43314,,Spot Purchased Day Care For Adults (Denny Centre),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Denny Centre),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,AGE UK NORFOLK,,,404032 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43315,,Spot Purchased Day Care For Adults (Dereham Meeting Point),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Dereham Meeting Point),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,42090 ,Estimated,,DEREHAM MEETING POINT,,,71822 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43316,,Spot Purchased Day Care For Adults (Diamond House),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Diamond House),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,ADIEMUS CARE LIMITED,07747136,,678720 ,,,,PART B SERVICES,,,Other,,,,,
