category,date_calculated,sum,YYYY,exmonth
Management advisory services,2011-05-01,123484.31,2011,5
Management advisory services,2013-08-01,46528.67,2013,8
Management advisory services,2014-11-01,2043678.49,2014,11
Management advisory services,2012-09-01,110518.74,2012,9
Management advisory services,2011-07-01,241179.15,2011,7
Management advisory services,2014-12-01,5878461.97,2014,12
Management advisory services,2013-07-01,43482.82,2013,7
Management advisory services,2014-05-01,21162.31,2014,5
Management advisory services,2011-09-01,221343.04,2011,9
Management advisory services,2012-02-01,113914.77,2012,2
Management advisory services,2014-01-01,22459.55,2014,1
Management advisory services,2011-03-01,94888.99,2011,3
Management advisory services,2011-12-01,286531.09,2011,12
Management advisory services,2013-11-01,260474.08,2013,11
Management advisory services,2013-02-01,102543.21,2013,2
Management advisory services,2011-06-01,113919.65,2011,6
Management advisory services,2013-12-01,21888.99,2013,12
Management advisory services,2014-08-01,21124.24,2014,8
Management advisory services,2013-09-01,62304.25,2013,9
Management advisory services,2013-04-01,41703.91,2013,4
Management advisory services,2013-05-01,45332.28,2013,5
Management advisory services,2013-03-01,92566.41,2013,3
Management advisory services,2011-08-01,229901.61,2011,8
Management advisory services,2012-03-01,108943.5,2012,3
Management advisory services,2013-06-01,40636.83,2013,6
Management and Business Professionals and Administrative Services,2012-01-01,3529179.1,2012,1
Management and Business Professionals and Administrative Services,2014-04-01,232941.28,2014,4
Management and Business Professionals and Administrative Services,2013-10-01,544323.95,2013,10
Management and Business Professionals and Administrative Services,2012-08-01,3167416.01,2012,8
Management and Business Professionals and Administrative Services,2011-02-01,2730658.44,2011,2
Management and Business Professionals and Administrative Services,2014-02-01,617176.63,2014,2
Management and Business Professionals and Administrative Services,2012-05-01,2642996.68,2012,5
Management and Business Professionals and Administrative Services,2011-05-01,2357081.36,2011,5
Management and Business Professionals and Administrative Services,2013-08-01,558067.15,2013,8
Management and Business Professionals and Administrative Services,2014-11-01,4302073.73000001,2014,11
Management and Business Professionals and Administrative Services,2011-10-01,3166217.41999999,2011,10
Management and Business Professionals and Administrative Services,2012-10-01,3151007.99000001,2012,10
Management and Business Professionals and Administrative Services,2012-12-01,2219495.35,2012,12
Management and Business Professionals and Administrative Services,2012-04-01,2781143.64,2012,4
Management and Business Professionals and Administrative Services,2014-03-01,867334.19,2014,3
Management and Business Professionals and Administrative Services,2012-06-01,1461233.44,2012,6
Management and Business Professionals and Administrative Services,2014-07-01,334587.91,2014,7
Management and Business Professionals and Administrative Services,2014-06-01,473818.1,2014,6
Management and Business Professionals and Administrative Services,2011-01-01,2307167.71,2011,1
Management and Business Professionals and Administrative Services,2013-06-01,677081.02,2013,6
Management and Business Professionals and Administrative Services,2011-04-01,2545989.27,2011,4
Management and Business Professionals and Administrative Services,2012-07-01,5487899.18,2012,7
Management and Business Professionals and Administrative Services,2011-11-01,2490664.75,2011,11
Management and Business Professionals and Administrative Services,2013-01-01,6990490.05,2013,1
Management and Business Professionals and Administrative Services,2012-11-01,3585458.76,2012,11
Management and Business Professionals and Administrative Services,2014-10-01,3958220.08000002,2014,10
Management and Business Professionals and Administrative Services,2013-05-01,304368.72,2013,5
Management and Business Professionals and Administrative Services,2013-09-01,638970.28,2013,9
Management and Business Professionals and Administrative Services,2013-04-01,390788.99,2013,4
Management and Business Professionals and Administrative Services,2013-03-01,2786524.32,2013,3
Management and Business Professionals and Administrative Services,2014-08-01,326309.23,2014,8
Management and Business Professionals and Administrative Services,2013-12-01,831577.06,2013,12
Management and Business Professionals and Administrative Services,2012-03-01,3101121.82,2012,3
Management and Business Professionals and Administrative Services,2011-08-01,3221716.22,2011,8
Management and Business Professionals and Administrative Services,2011-09-01,4236028.04999998,2011,9
Management and Business Professionals and Administrative Services,2014-05-01,125028.71,2014,5
Management and Business Professionals and Administrative Services,2014-12-01,4073154.62000001,2014,12
Management and Business Professionals and Administrative Services,2013-07-01,310864.58,2013,7
Management and Business Professionals and Administrative Services,2012-09-01,2658619.4,2012,9
Management and Business Professionals and Administrative Services,2011-07-01,3085292.35,2011,7
Management and Business Professionals and Administrative Services,2011-06-01,2527267.56,2011,6
Management and Business Professionals and Administrative Services,2011-12-01,4384606.31,2011,12
Management and Business Professionals and Administrative Services,2013-11-01,669540.149999999,2013,11
Management and Business Professionals and Administrative Services,2013-02-01,2800115.48,2013,2
Management and Business Professionals and Administrative Services,2012-02-01,2668042.63,2012,2
Management and Business Professionals and Administrative Services,2014-01-01,944061.22,2014,1
Management and Business Professionals and Administrative Services,2011-03-01,2251307.63,2011,3
Manufacturing Components and Supplies,2011-11-01,5607.5,2011,11
Manufacturing Components and Supplies,2013-01-01,32788,2013,1
Manufacturing Components and Supplies,2012-11-01,2994.5,2012,11
Manufacturing Components and Supplies,2014-10-01,15680.87,2014,10
Manufacturing Components and Supplies,2012-06-01,5282.5,2012,6
Manufacturing Components and Supplies,2011-01-01,6300.5,2011,1
Manufacturing Components and Supplies,2011-04-01,30626.5,2011,4
Manufacturing Components and Supplies,2014-11-01,4481,2014,11
Manufacturing Components and Supplies,2011-05-01,9690,2011,5
Manufacturing Components and Supplies,2012-10-01,10917.35,2012,10
Manufacturing Components and Supplies,2011-10-01,30692.33,2011,10
Manufacturing Components and Supplies,2012-04-01,11895.2,2012,4
Manufacturing Components and Supplies,2012-12-01,2320,2012,12
Manufacturing Components and Supplies,2012-01-01,5138.8,2012,1
Manufacturing Components and Supplies,2011-02-01,5420,2011,2
Manufacturing Components and Supplies,2012-08-01,2147.5,2012,8
Manufacturing Components and Supplies,2011-06-01,11641.11,2011,6
Manufacturing Components and Supplies,2013-02-01,11584,2013,2
Manufacturing Components and Supplies,2011-12-01,2065,2011,12
Manufacturing Components and Supplies,2011-03-01,6112.5,2011,3
Manufacturing Components and Supplies,2012-02-01,2239.3,2012,2
Manufacturing Components and Supplies,2011-09-01,3856.5,2011,9
Manufacturing Components and Supplies,2014-12-01,2826.56,2014,12
Manufacturing Components and Supplies,2011-07-01,3409,2011,7
Manufacturing Components and Supplies,2012-09-01,1144.5,2012,9
Manufacturing Components and Supplies,2012-03-01,34953.5,2012,3
Manufacturing Components and Supplies,2011-08-01,1287.5,2011,8
Manufacturing Components and Supplies,2013-04-01,8503,2013,4
Manufacturing Components and Supplies,2013-03-01,1691,2013,3
Manufacturing Components and Supplies,2012-07-01,1863.4,2012,7
Market research,2012-03-01,7638.5,2012,3
Market research,2011-08-01,900,2011,8
Market research,2011-12-01,5397,2011,12
Market research,2011-07-01,18130,2011,7
Market research,2014-11-01,1625,2014,11
Market research,2013-08-01,2955,2013,8
Market research,2011-02-01,36260,2011,2
Market research,2012-05-01,7414,2012,5
Market research,2014-10-01,7585.5,2014,10
Market research,2011-01-01,6530,2011,1
Market research,2012-06-01,776,2012,6
Market research,2011-04-01,20330,2011,4
Material packing and handling,2012-04-01,3980,2012,4
Material packing and handling,2012-10-01,1940,2012,10
Material packing and handling,2012-07-01,1480,2012,7
Media placement and fulfillment,2014-11-01,675,2014,11
Medical practice,2012-04-01,15054,2012,4
Medical practice,2012-12-01,15514.62,2012,12
Medical practice,2012-10-01,18046.3,2012,10
Medical practice,2014-11-01,1278.04,2014,11
Medical practice,2013-08-01,9639.57,2013,8
Medical practice,2012-05-01,7418.6,2012,5
Medical practice,2014-10-01,3450,2014,10
Medical practice,2012-11-01,4438.2,2012,11
Medical practice,2013-01-01,9587.1,2013,1
Medical practice,2012-07-01,11921.6,2012,7
Medical practice,2011-08-01,769.68,2011,8
Medical practice,2012-03-01,4547,2012,3
Medical practice,2011-03-01,6206.51,2011,3
Medical practice,2012-02-01,9426,2012,2
Medical practice,2013-02-01,2926.5,2013,2
Medical practice,2013-11-01,5057.52,2013,11
Medical practice,2011-06-01,712.4,2011,6
Medical practice,2012-09-01,14564.2,2012,9
Medical practice,2014-12-01,500,2014,12
Mining and quarrying machinery and equipment,2012-12-01,909.83,2012,12
Mining and quarrying machinery and equipment,2014-11-01,3591.42,2014,11
Mining and quarrying machinery and equipment,2012-10-01,5788,2012,10
Mining and quarrying machinery and equipment,2012-08-01,1380,2012,8
Mining and quarrying machinery and equipment,2014-10-01,1744.99,2014,10
Mining and quarrying machinery and equipment,2012-11-01,2870,2012,11
Mining and quarrying machinery and equipment,2013-03-01,7671,2013,3
Mining and quarrying machinery and equipment,2011-12-01,873,2011,12
Motion picture film processing or reproduction,2013-09-01,10800,2013,9
Motion picture film processing or reproduction,2013-04-01,2000,2013,4
Motion picture film processing or reproduction,2013-05-01,6650,2013,5
Motion picture film processing or reproduction,2013-03-01,2514,2013,3
Motion picture film processing or reproduction,2012-02-01,10000,2012,2
Motion picture film processing or reproduction,2011-03-01,4084.75,2011,3
